"","index","usage","solar","rate","battery"
"1",1,1.1526,0,0.07075,0
"2",2,1.11621,0,0.07075,0
"3",3,1.11243,0,0.07075,0
"4",4,1.10704,0,0.07075,0
"5",5,1.22754,0,0.07075,0
"6",6,1.47529,0,0.07075,0
"7",7,1.75031,0,0.07075,0
"8",8,1.66179,0.0516012,0.07075,0
"9",9,1.41756,0.93836,0.07075,5
"10",10,1.22763,1.77038,0.07075,5
"11",11,1.03929,0.60992,0.11209,-5
"12",12,1.02649,1.6605,0.11209,5
"13",13,1.00608,1.74386,0.11209,5
"14",14,0.976208,0.257594,0.21338,-5
"15",15,0.962383,1.59176,0.21338,-5
"16",16,1.0341,0.385988,0.21338,0
"17",17,1.48796,0.0403585,0.21338,0
"18",18,2.15869,0,0.21338,0
"19",19,2.2945,0,0.21338,0
"20",20,2.2627,0,0.11209,0
"21",21,2.24587,0,0.11209,0
"22",22,1.97143,0,0.07075,0
"23",23,1.63065,0,0.07075,0
"24",24,1.34297,0,0.07075,0
"25",25,1.16475,0,0.07075,0
"26",26,1.14522,0,0.07075,0
"27",27,1.14793,0,0.07075,0
"28",28,1.15108,0,0.07075,0
"29",29,1.2632,0,0.07075,0
"30",30,1.49749,0,0.07075,0
"31",31,1.77624,0,0.07075,0
"32",32,1.70846,0,0.07075,0
"33",33,1.57265,0.235404,0.07075,0
"34",34,1.37911,0.183222,0.07075,0
"35",35,1.19221,0.409443,0.07075,0
"36",36,1.17561,0.439673,0.07075,0
"37",37,1.13553,0.39621,0.07075,0
"38",38,1.12084,0.264697,0.07075,0
"39",39,1.11103,0.309345,0.07075,0
"40",40,1.17891,0.337435,0.07075,5
"41",41,1.62619,0,0.07075,5
"42",42,2.17215,0,0.11209,-5
"43",43,2.28634,0,0.11209,-5
"44",44,2.24202,0,0.11209,0
"45",45,2.22374,0,0.07075,0
"46",46,1.94283,0,0.07075,0
"47",47,1.59379,0,0.07075,0
"48",48,1.30187,0,0.07075,0
"49",49,1.12415,0,0.07075,0
"50",50,1.10165,0,0.07075,0
"51",51,1.09429,0,0.07075,0
"52",52,1.08825,0,0.07075,0
"53",53,1.19465,0,0.07075,0
"54",54,1.42828,0,0.07075,0
"55",55,1.69429,0,0.07075,0
"56",56,1.61721,0.0376848,0.07075,0
"57",57,1.4991,0.477283,0.07075,0
"58",58,1.32401,0.707128,0.07075,0
"59",59,1.13791,1.64029,0.07075,0
"60",60,1.12234,1.37399,0.07075,0
"61",61,1.09413,1.20555,0.07075,0
"62",62,1.08536,1.97112,0.07075,0
"63",63,1.07464,0.270578,0.07075,0
"64",64,1.14666,1.14443,0.07075,5
"65",65,1.59959,0,0.07075,5
"66",66,2.14166,0,0.11209,-5
"67",67,2.25024,0,0.11209,-5
"68",68,2.20401,0,0.11209,0
"69",69,2.18283,0,0.07075,0
"70",70,1.90034,0,0.07075,0
"71",71,1.54986,0,0.07075,0
"72",72,1.24752,0,0.07075,0
"73",73,1.06278,0,0.07075,0
"74",74,1.03966,0,0.07075,0
"75",75,1.02623,0,0.07075,0
"76",76,1.01968,0,0.07075,0
"77",77,1.12774,0,0.07075,0
"78",78,1.36825,0,0.07075,0
"79",79,1.64495,0,0.07075,0
"80",80,1.5727,0.0480144,0.07075,0
"81",81,1.45955,0.620497,0.07075,0
"82",82,1.30677,0.717753,0.07075,0
"83",83,1.14679,0.488404,0.07075,0
"84",84,1.149,0.987681,0.07075,0
"85",85,1.12746,0.288779,0.07075,0
"86",86,1.11911,0.262707,0.07075,0
"87",87,1.11243,0.243734,0.07075,0
"88",88,1.18297,0.426806,0.07075,0
"89",89,1.62297,0,0.07075,0
"90",90,2.15373,0,0.07075,0
"91",91,2.25317,0,0.07075,0
"92",92,2.2018,0,0.07075,0
"93",93,2.17874,0,0.07075,0
"94",94,1.89446,0,0.07075,0
"95",95,1.53858,0,0.07075,0
"96",96,1.23776,0,0.07075,0
"97",97,1.05084,0,0.07075,0
"98",98,1.02273,0,0.07075,0
"99",99,1.00893,0,0.07075,0
"100",100,1.00229,0,0.07075,0
"101",101,1.11035,0,0.07075,0
"102",102,1.34359,0,0.07075,0
"103",103,1.61772,0,0.07075,0
"104",104,1.55006,0.0358352,0.07075,0
"105",105,1.44644,0.192914,0.07075,5
"106",106,1.28518,0.360216,0.07075,5
"107",107,1.12287,0.404484,0.11209,-5
"108",108,1.12743,0.600672,0.11209,5
"109",109,1.10488,0.414027,0.11209,5
"110",110,1.09305,0.262951,0.21338,-5
"111",111,1.08707,0.540595,0.21338,-5
"112",112,1.15632,0.658042,0.21338,0
"113",113,1.59534,0,0.21338,0
"114",114,2.12663,0,0.21338,0
"115",115,2.23191,0,0.21338,0
"116",116,2.18257,0,0.11209,0
"117",117,2.15824,0,0.11209,0
"118",118,1.87355,0,0.07075,0
"119",119,1.51997,0,0.07075,0
"120",120,1.22928,0,0.07075,0
"121",121,1.05176,0,0.07075,0
"122",122,1.03137,0,0.07075,0
"123",123,1.02202,0,0.07075,0
"124",124,1.0199,0,0.07075,0
"125",125,1.13059,0,0.07075,0
"126",126,1.3578,0,0.07075,0
"127",127,1.62597,0,0.07075,0
"128",128,1.60363,0.0345335,0.07075,0
"129",129,1.43603,0.256156,0.07075,5
"130",130,1.28721,0.554895,0.07075,5
"131",131,1.1236,1.01675,0.11209,-5
"132",132,1.10975,2.38342,0.11209,5
"133",133,1.06729,2.80358,0.11209,5
