i,v
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.0516012
9,0.93836
10,1.77038
11,0.60992
12,1.6605
13,1.74386
14,0.257594
15,1.59176
16,0.385988
17,0.0403585
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0.235404
34,0.183222
35,0.409443
36,0.439673
37,0.39621
38,0.264697
39,0.309345
40,0.337435
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.0376848
57,0.477283
58,0.707128
59,1.64029
60,1.37399
61,1.20555
62,1.97112
63,0.270578
64,1.14443
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.0480144
81,0.620497
82,0.717753
83,0.488404
84,0.987681
85,0.288779
86,0.262707
87,0.243734
88,0.426806
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.0358352
105,0.192914
106,0.360216
107,0.404484
108,0.600672
109,0.414027
110,0.262951
111,0.540595
112,0.658042
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0.0345335
129,0.256156
130,0.554895
131,1.01675
132,2.38342
133,2.80358
134,2.71553
135,1.94949
136,1.45777
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0.46759
154,0.38206
155,0.494126
156,1.27815
157,1.33286
158,2.10442
159,1.59949
160,0.70275
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.032829
177,0.351614
178,0.942232
179,0.757854
180,1.07938
181,2.65175
182,1.96285
183,0.596289
184,0.518967
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0.100875
202,0.164819
203,0.703331
204,2.50558
205,2.77766
206,2.61623
207,2.08608
208,1.48343
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
