i,v
1,1.1526
2,1.11621
3,1.11243
4,1.10704
5,1.22754
6,1.47529
7,1.75031
8,1.66179
9,1.41756
10,1.22763
11,1.03929
12,1.02649
13,1.00608
14,0.976208
15,0.962383
16,1.0341
17,1.48796
18,2.15869
19,2.2945
20,2.2627
21,2.24587
22,1.97143
23,1.63065
24,1.34297
25,1.16475
26,1.14522
27,1.14793
28,1.15108
29,1.2632
30,1.49749
31,1.77624
32,1.70846
33,1.57265
34,1.37911
35,1.19221
36,1.17561
37,1.13553
38,1.12084
39,1.11103
40,1.17891
41,1.62619
42,2.17215
43,2.28634
44,2.24202
45,2.22374
46,1.94283
47,1.59379
48,1.30187
49,1.12415
50,1.10165
51,1.09429
52,1.08825
53,1.19465
54,1.42828
55,1.69429
56,1.61721
57,1.4991
58,1.32401
59,1.13791
60,1.12234
61,1.09413
62,1.08536
63,1.07464
64,1.14666
65,1.59959
66,2.14166
67,2.25024
68,2.20401
69,2.18283
70,1.90034
71,1.54986
72,1.24752
73,1.06278
74,1.03966
75,1.02623
76,1.01968
77,1.12774
78,1.36825
79,1.64495
80,1.5727
81,1.45955
82,1.30677
83,1.14679
84,1.149
85,1.12746
86,1.11911
87,1.11243
88,1.18297
89,1.62297
90,2.15373
91,2.25317
92,2.2018
93,2.17874
94,1.89446
95,1.53858
96,1.23776
97,1.05084
98,1.02273
99,1.00893
100,1.00229
101,1.11035
102,1.34359
103,1.61772
104,1.55006
105,1.44644
106,1.28518
107,1.12287
108,1.12743
109,1.10488
110,1.09305
111,1.08707
112,1.15632
113,1.59534
114,2.12663
115,2.23191
116,2.18257
117,2.15824
118,1.87355
119,1.51997
120,1.22928
121,1.05176
122,1.03137
123,1.02202
124,1.0199
125,1.13059
126,1.3578
127,1.62597
128,1.60363
129,1.43603
130,1.28721
131,1.1236
132,1.10975
133,1.06729
134,1.05219
135,1.04128
136,1.11023
137,1.49892
138,2.09301
139,2.20973
140,2.16608
141,2.15232
142,1.87787
143,1.52945
144,1.2297
145,1.04157
146,1.01716
147,1.01074
148,1.00546
149,1.11889
150,1.35844
151,1.63036
152,1.54471
153,1.32155
154,1.17257
155,1.00672
156,0.996367
157,0.976174
158,0.950968
159,0.944264
160,1.01542
161,1.40288
162,2.11522
163,2.2301
164,2.18283
165,2.15909
166,1.87246
167,1.5153
168,1.21575
169,1.03353
170,1.0122
171,1.00585
172,1.00737
173,1.11631
174,1.34825
175,1.62314
176,1.53846
177,1.30769
178,1.15215
179,0.990917
180,0.986887
181,0.971583
182,0.951872
183,0.941066
184,1.00593
185,1.39416
186,2.11369
187,2.23782
188,2.1937
189,2.17761
190,1.9043
191,1.5629
192,1.26386
193,1.07788
194,1.07149
195,1.07413
196,1.07587
197,1.19391
198,1.43228
199,1.70441
200,1.62384
201,1.48928
202,1.30886
203,1.14695
204,1.15636
205,1.11535
206,1.08438
207,1.06867
208,1.14137
209,1.53382
210,2.13378
211,2.24864
212,2.20933
213,2.1894
214,1.91212
215,1.57075
216,1.29291
217,1.12552
218,1.10133
219,1.09581
220,1.09791
221,1.21334
222,1.44422
223,1.71818
224,1.64604
225,1.50838
226,1.33216
227,1.1569
228,1.14253
229,1.10782
230,1.09167
231,1.08276
232,1.15592
233,1.54328
234,2.14091
235,2.25076
236,2.20964
237,2.20816
238,1.93231
239,1.57603
240,1.28189
241,1.10351
242,1.09094
243,1.09183
244,1.0955
245,1.20582
246,1.42937
247,1.69037
248,1.61287
249,1.50202
250,1.35405
251,1.19538
252,1.1589
253,1.10409
254,1.08377
255,1.07098
256,1.13534
257,1.52867
258,2.13637
259,2.24893
260,2.21722
261,2.19642
262,1.92501
263,1.58724
264,1.30363
265,1.13012
266,1.1097
267,1.10628
268,1.10151
269,1.21712
270,1.45858
271,1.73177
272,1.64708
273,1.50662
274,1.31572
275,1.12984
276,1.12141
277,1.08692
278,1.06825
279,1.05508
280,1.12358
281,1.5139
282,2.11451
283,2.22959
284,2.19456
285,2.19287
286,1.91957
287,1.55852
288,1.27125
289,1.10487
290,1.08142
291,1.07286
292,1.06517
293,1.17397
294,1.42287
295,1.69648
296,1.60578
297,1.47485
298,1.30094
299,1.127
300,1.12451
301,1.0922
302,1.07586
303,1.06378
304,1.135
305,1.52624
306,2.12297
307,2.2328
308,2.18659
309,2.17092
310,1.89227
311,1.54703
312,1.26034
313,1.08019
314,1.06619
315,1.06492
316,1.06231
317,1.17305
318,1.4161
319,1.69803
320,1.6106
321,1.37655
322,1.21605
323,1.04461
324,1.04329
325,0.999027
326,0.946075
327,0.922638
328,0.99337
329,1.38925
330,2.10744
331,2.22644
332,2.18272
333,2.168
334,1.898
335,1.54178
336,1.2383
337,1.06616
338,1.05464
339,1.05463
340,1.05739
341,1.17262
342,1.40726
343,1.6809
344,1.59621
345,1.34003
346,1.15286
347,0.974114
348,0.963923
349,0.939932
350,0.912168
351,0.905667
352,0.971201
353,1.35503
354,2.0726
355,2.1935
356,2.14514
357,2.13055
358,1.85261
359,1.49554
360,1.19901
361,1.02609
362,1.00821
363,0.998347
364,0.989506
365,1.0983
366,1.33832
367,1.62887
368,1.54449
369,1.29613
370,1.1255
371,0.954264
372,0.958646
373,0.962635
374,0.947231
375,0.944964
376,1.00819
377,1.38033
378,2.08453
379,2.20225
380,2.172
381,2.15919
382,1.87881
383,1.51808
384,1.21718
385,1.04453
386,1.0212
387,1.00912
388,1.00395
389,1.11454
390,1.36115
391,1.64217
392,1.56895
393,1.44485
394,1.27019
395,1.09831
396,1.10323
397,1.09233
398,1.09502
399,1.0981
400,1.15694
401,1.52152
402,2.04347
403,2.22097
404,2.18953
405,2.17596
406,1.90349
407,1.558
408,1.26541
409,1.09193
410,1.08647
411,1.08075
412,1.07667
413,1.19229
414,1.43502
415,1.70808
416,1.62083
417,1.48493
418,1.30802
419,1.13324
420,1.12958
421,1.0978
422,1.08846
423,1.07683
424,1.13956
425,1.52117
426,2.06166
427,2.23616
428,2.19583
429,2.1848
430,1.9155
431,1.57117
432,1.273
433,1.08919
434,1.06518
435,1.05299
436,1.04753
437,1.15714
438,1.4
439,1.68027
440,1.60916
441,1.47999
442,1.30332
443,1.13082
444,1.12732
445,1.09717
446,1.08223
447,1.06817
448,1.13286
449,1.5233
450,2.06759
451,2.23784
452,2.19443
453,2.17705
454,1.91199
455,1.57129
456,1.2936
457,1.12254
458,1.10192
459,1.10195
460,1.10773
461,1.23141
462,1.46206
463,1.73507
464,1.65826
465,1.5105
466,1.31642
467,1.12692
468,1.11994
469,1.08931
470,1.08153
471,1.07313
472,1.13735
473,1.51816
474,2.05736
475,2.23152
476,2.19366
477,2.18921
478,1.92649
479,1.58151
480,1.28604
481,1.10697
482,1.098
483,1.10438
484,1.10826
485,1.21872
486,1.46447
487,1.73844
488,1.64449
489,1.3915
490,1.2051
491,1.01794
492,1.00464
493,0.98318
494,0.949207
495,0.93182
496,1.00123
497,1.3977
498,2.06795
499,2.24938
500,2.20526
501,2.1844
502,1.90062
503,1.54561
504,1.24536
505,1.05855
506,1.03127
507,1.01859
508,1.01875
509,1.12967
510,1.37556
511,1.66035
512,1.57558
513,1.34145
514,1.17945
515,1.0221
516,1.007
517,0.982083
518,0.951584
519,0.944726
520,1.01954
521,1.41433
522,2.07666
523,2.25847
524,2.21698
525,2.19521
526,1.91731
527,1.57038
528,1.278
529,1.09752
530,1.07998
531,1.07835
532,1.08562
533,1.20642
534,1.44884
535,1.72401
536,1.64238
537,1.52217
538,1.34404
539,1.15706
540,1.13893
541,1.09985
542,1.08187
543,1.07392
544,1.14275
545,1.53233
546,2.08689
547,2.26108
548,2.2275
549,2.21755
550,1.9475
551,1.59006
552,1.28815
553,1.1152
554,1.09133
555,1.08806
556,1.09183
557,1.20658
558,1.44088
559,1.70641
560,1.62566
561,1.50087
562,1.32382
563,1.13937
564,1.13131
565,1.09766
566,1.07712
567,1.06269
568,1.131
569,1.51881
570,2.06319
571,2.23808
572,2.19872
573,2.1912
574,1.9169
575,1.5738
576,1.28644
577,1.11378
578,1.1049
579,1.10248
580,1.10151
581,1.21802
582,1.46128
583,1.73336
584,1.64993
585,1.51598
586,1.34235
587,1.17053
588,1.15732
589,1.12044
590,1.09751
591,1.08697
592,1.15315
593,1.54286
594,2.09114
595,2.25767
596,2.21375
597,2.1965
598,1.92104
599,1.57913
600,1.28782
601,1.10068
602,1.0831
603,1.08353
604,1.07837
605,1.18937
606,1.43012
607,1.7011
608,1.61521
609,1.49929
610,1.34113
611,1.14943
612,1.11748
613,1.07297
614,1.05455
615,1.04443
616,1.11966
617,1.51465
618,2.00415
619,2.23113
620,2.18702
621,2.16764
622,1.88119
623,1.5322
624,1.2447
625,1.06828
626,1.05256
627,1.04647
628,1.03784
629,1.15201
630,1.40006
631,1.68338
632,1.59834
633,1.44977
634,1.26937
635,1.10158
636,1.09485
637,1.06587
638,1.06426
639,1.05782
640,1.12608
641,1.50427
642,1.97773
643,2.20509
644,2.16527
645,2.1534
646,1.87897
647,1.52944
648,1.25005
649,1.07829
650,1.06111
651,1.05967
652,1.06928
653,1.18506
654,1.42793
655,1.7046
656,1.61634
657,1.37006
658,1.19194
659,1.00778
660,0.992253
661,0.97291
662,0.934764
663,0.908164
664,0.976819
665,1.37937
666,1.99134
667,2.22254
668,2.17361
669,2.15339
670,1.87034
671,1.51431
672,1.21945
673,1.03732
674,1.01108
675,1.00125
676,0.995397
677,1.10178
678,1.33907
679,1.61353
680,1.53064
681,1.30623
682,1.15098
683,0.98487
684,0.992257
685,0.995905
686,0.978873
687,0.991946
688,1.07526
689,1.46242
690,2.05758
691,2.28469
692,2.24058
693,2.22127
694,1.93942
695,1.58855
696,1.29221
697,1.10714
698,1.07665
699,1.06146
700,1.05838
701,1.16567
702,1.39338
703,1.66023
704,1.59117
705,1.48335
706,1.32427
707,1.15313
708,1.13696
709,1.09973
710,1.08592
711,1.07494
712,1.14078
713,1.53153
714,2.02443
715,2.25338
716,2.20947
717,2.19176
718,1.90992
719,1.5616
720,1.2681
721,1.08473
722,1.05976
723,1.05059
724,1.05493
725,1.16601
726,1.39782
727,1.67254
728,1.53875
729,1.48144
730,1.31642
731,1.14341
732,1.15443
733,1.13872
734,1.12313
735,1.11268
736,1.17271
737,1.55118
738,2.03638
739,2.26243
740,2.21703
741,2.19368
742,1.91656
743,1.56759
744,1.26937
745,1.08155
746,1.05258
747,1.04247
748,1.04239
749,1.15543
750,1.39105
751,1.66215
752,1.52684
753,1.4623
754,1.28926
755,1.11217
756,1.10501
757,1.07026
758,1.05759
759,1.04722
760,1.1145
761,1.50184
762,1.98365
763,2.21403
764,2.17252
765,2.15502
766,1.87495
767,1.52733
768,1.23941
769,1.06557
770,1.04801
771,1.04445
772,1.04902
773,1.16141
774,1.39439
775,1.66334
776,1.52765
777,1.46668
778,1.30336
779,1.13268
780,1.12991
781,1.09918
782,1.08539
783,1.07338
784,1.14059
785,1.52847
786,2.01058
