index,usage,solar,rate
1,1.1526,0,0.07075
2,1.11621,0,0.07075
3,1.11243,0,0.07075
4,1.10704,0,0.07075
5,1.22754,0,0.07075
6,1.47529,0,0.07075
7,1.75031,0,0.07075
8,1.66179,0.0516012,0.07075
9,1.41756,0.93836,0.07075
10,1.22763,1.77038,0.07075
11,1.03929,0.60992,0.11209
12,1.02649,1.6605,0.11209
13,1.00608,1.74386,0.11209
14,0.976208,0.257594,0.21338
15,0.962383,1.59176,0.21338
16,1.0341,0.385988,0.21338
17,1.48796,0.0403585,0.21338
18,2.15869,0,0.21338
19,2.2945,0,0.21338
20,2.2627,0,0.11209
21,2.24587,0,0.11209
22,1.97143,0,0.07075
23,1.63065,0,0.07075
24,1.34297,0,0.07075
25,1.16475,0,0.07075
26,1.14522,0,0.07075
27,1.14793,0,0.07075
28,1.15108,0,0.07075
29,1.2632,0,0.07075
30,1.49749,0,0.07075
31,1.77624,0,0.07075
32,1.70846,0,0.07075
33,1.57265,0.235404,0.07075
34,1.37911,0.183222,0.07075
35,1.19221,0.409443,0.07075
36,1.17561,0.439673,0.07075
37,1.13553,0.39621,0.07075
38,1.12084,0.264697,0.07075
39,1.11103,0.309345,0.07075
40,1.17891,0.337435,0.07075
41,1.62619,0,0.07075
42,2.17215,0,0.11209
43,2.28634,0,0.11209
44,2.24202,0,0.11209
45,2.22374,0,0.07075
46,1.94283,0,0.07075
47,1.59379,0,0.07075
48,1.30187,0,0.07075
49,1.12415,0,0.07075
50,1.10165,0,0.07075
51,1.09429,0,0.07075
52,1.08825,0,0.07075
53,1.19465,0,0.07075
54,1.42828,0,0.07075
55,1.69429,0,0.07075
56,1.61721,0.0376848,0.07075
57,1.4991,0.477283,0.07075
58,1.32401,0.707128,0.07075
59,1.13791,1.64029,0.07075
60,1.12234,1.37399,0.07075
61,1.09413,1.20555,0.07075
62,1.08536,1.97112,0.07075
63,1.07464,0.270578,0.07075
64,1.14666,1.14443,0.07075
65,1.59959,0,0.07075
66,2.14166,0,0.11209
67,2.25024,0,0.11209
68,2.20401,0,0.11209
69,2.18283,0,0.07075
70,1.90034,0,0.07075
71,1.54986,0,0.07075
72,1.24752,0,0.07075
73,1.06278,0,0.07075
74,1.03966,0,0.07075
